,route,world,lead,free_start,total,circuit,complete_notes,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
0,dummy,x,0,0.0,0,False,False,,,,,,,,,,,,,,,,,,
1,Time Trial Lap,Bologna,,,,,,,,,,,,,,,,,,,,,,,
2,Bell Lap,Crit City,,,,,,,,,,,,,,,,,,,,,,,
3,Downtown Dolphin,Crit City,,,,,,,,,,,,,,,,,,,,,,,
4,Casse-Pattes,France,,,,,,,,,,,,,,,,,,,,,,,
5,Douce France,France,,,,,,,,,,,,,,,,,,,,,,,
6,France Classic Fondo,France,,,,,,,,,,,,,,,,,,,,,,,
7,La Reine,France,,,,False,,,,,,,,,,,,,,,,,,,
8,Petit Boucle,France,,,,,,,,,,,,,,,,,,,,,,,
9,R.G.V.,France,,,,,,,,,,,,,,,,,,,,,,,
10,Roule Ma Poule,France,,,,,,,,,,,,,,,,,,,,,,,
11,Tire-Bouchon,France,,,,,,,,,,,,,,,,,,,,,,,
12,Ven-Top,France,,,,,,,,,,,,,,,,,,,,,,,
13,Gravel Mountain Reverse,Gravel Mountain,,,,,,,,,,,,,,,,,,,,,,,
14,Gravel Mountain,Gravel Mountain,,,,,,,,,,,,,,,,,,,,,,,
15,2018 UCI Worlds Course Short Lap,Innsbruck,,,,,,,,,,,,,,,,,,,,,,,
16,Achterbahn,Innsbruck,,,,,,,,,,,,,,,,,,,,,,,
17,Innsbruck KOM After Party,Innsbruck,,,,,,,,,,,,,,,,,,,,,,,
18,InnsbruckConti,Innsbruck,,,,,,,,,,,,,,,,,,,,,,,
19,Innsbruckring,Innsbruck,,,,,,,,,,,,,,,,,,,,,,,
20,Lutscher CCW,Innsbruck,,,,,,,,,,,,,,,,,,,,,,,
21,Lutscher,Innsbruck,,,,,,,,,,,,,,,,,,,,,,,
22,Classique Reverse,London,,,,,,,,,,,,,,,,,,,,,,,
23,Classique,London,,,,,,,,,,,,,,,,,,,,,,,
24,Greater London 8,London,,,,,,,,,,,,,,,,,,,,,,,
25,Greater London Flat,London,,,,,,,,,,,,,,,,,,,,,,,
26,Greater London Loop Reverse,London,,,,,,,,,,,,,,,,,,,,,,,
27,Greater London Loop,London,,,,,,,,,,,,,,,,,,,,,,,
28,Greatest London Flat,London,,,,,,,,,,,,,,,,,,,,,,,
29,Greatest London Loop Reverse,London,,,,,,,,,,,,,,,,,,,,,,,
30,Greatest London Loop,London,,,,,,,,,,,,,,,,,,,,,,,
31,Keith Hill After Party,London,,,,,,,,,,,,,,,,,,,,,,,
32,Leith Hill After Party,London,,,,,,,,,,,,,,,,,,,,,,,
33,London 8 Reverse,London,,,,,,,,,,,,,,,,,,,,,,,
34,London 8,London,,,,,,,,,,,,,,,,,,,,,,,
35,London Loop Reverse,London,,,,,,,,,,,,,,,,,,,,,,,
36,London Loop,London,,,,,,,,,,,,,,,,,,,,,,,
37,Surrey Hills,London,,,,,,,,,,,,,,,,,,,,,,,
38,The London Pretzel,London,,,,,,,,,,,,,,,,,,,,,,,
39,The PRL Full,London,,,,,,,,,,,,,,,,,,,,,,,
40,The PRL Half,London,,,,,,,,,,,,,,,,,,,,,,,
41,Triple Loops,London,,,,,,,,,,,,,,,,,,,,,,,
42,Bridges and Boardwalks,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
43,Castle Crit Run,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
44,Castle Crit,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
45,Castle to Castle,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
46,Chain Chomper,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
47,Chasing the Sun,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
48,Country to Coastal,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
49,Countryside Tour,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
50,Electric Loop,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
51,Farmland Loop,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
52,Fine and Sandy,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
