world,route,total,lead,restriction
Bologna,Time Trial Lap,8km (5.0 miles),0km ( miles),Event only
Crit City,Bell Lap,2km (1.2 miles),0km ( miles),Event Only
Crit City,Downtown Dolphin,2km (1.2 miles),0km ( miles),Event Only
France,Casse-Pattes,23km (14.3 miles),0.9km (0.6 miles),
France,Douce France,24km (14.9 miles),0.2km (0.1 miles),
France,France Classic Fondo,145.9km (90.7 miles),1km (0.6 miles),Event Only
France,La Reine,22.4km (13.9 miles),0.4km (0.2 miles),
France,Petit Boucle,60.8km (37.8 miles),0.9km (0.6 miles),
France,R.G.V.,24km (14.9 miles),0.9km (0.6 miles),
France,Roule Ma Poule,23km (14.3 miles),3.1km (1.9 miles),
France,Tire-Bouchon,61km (37.9 miles),3.1km (1.9 miles),
France,Ven-Top,20.9km (13.0 miles),0.2km (0.1 miles),
Gravel Mountain,Gravel Mountain Reverse,5.13km (3.2 miles),0km ( miles),Event Only
Gravel Mountain,Gravel Mountain,5.22km (3.2 miles),0km ( miles),Event Only
Innsbruck,2018 UCI Worlds Course Short Lap,23.6km (14.7 miles),0.2km (0.1 miles),
Innsbruck,Achterbahn,47.4km (29.5 miles),0.2km (0.1 miles),
Innsbruck,Innsbruck KOM After Party,36.9km (22.9 miles),0.2km (0.1 miles),Event Only
Innsbruck,InnsbruckConti,12.5km (7.8 miles),0.5km (0.3 miles),Event Only
Innsbruck,Innsbruckring,8.8km (5.5 miles),0.2km (0.1 miles),
Innsbruck,Lutscher CCW,13.8km (8.6 miles),8.8km (5.5 miles),
Innsbruck,Lutscher,13.7km (8.5 miles),10.9km (6.8 miles),
London,Classique Reverse,5.4km (3.4 miles),7.6km (4.7 miles),Event Only
London,Classique,5.5km (3.4 miles),5.6km (3.5 miles),
London,Greater London 8,23.8km (14.8 miles),0.6km (0.4 miles),
London,Greater London Flat,11.7km (7.3 miles),5.6km (3.5 miles),
London,Greater London Loop Reverse,21.0km (13.0 miles),0km ( miles),Event Only
London,Greater London Loop,21km (13.0 miles),0.6km (0.4 miles),
London,Greatest London Flat,23.6km (14.7 miles),7.5km (4.7 miles),
London,Greatest London Loop Reverse,25.6km (15.9 miles),0.2km (0.1 miles),Event Only
London,Greatest London Loop,25.6km (15.9 miles),0.6km (0.4 miles),
